# 2016-06-26 18:50:13.338034

# Simulation of heat flow through 1-dimensional rod
# 
# Dimensions
#   dim x =                  67
#   min x =                  0.0
#   max x =                  0.33
# 
# Thermodynamical parameters
#   initial temp =           298.7937554259595
#    u amb =                     287.0517408431291
#    thermal conductivity =      127.13031503899848
#    specific heat =             361.00000000190556
#    stop time =                 1085.0
#    mass density =              8293.51414192689
#    power =                     10.275605378369995
#    area =                      0.0003877733785771607
#    power2 =                    -0.7688688314799881
#    perimeter =                 0.0698061887627652
#    emissivity =                0.9999999999711252
#    convection coeff =          2.5268039014340664e-05
# 
#  Boundary conditions:
#    method =                    Simple heat-diffusion BC
#    x0 order =                  None
#    x1 order =                  None
# 
#  Finite differencing
#    time step =                 0.25
#    method =                    Explicit for simple convection-diffusion equation
# 
Step= 0
      19      298.79375543
      34      298.79375543
      48      298.79375543
      63      298.79375543
Step= 2
      19      298.79174244
      34      298.79174244
      48      298.79174244
      63      298.79174244
Step= 4
      19      298.78972981
      34      298.78972981
      48      298.78972981
      63      298.78956713
Step= 7
      19      298.78671156
      34      298.78671156
      48      298.78671156
      63      298.78590445
Step= 9
      19      298.78469985
      34      298.78469985
      48      298.78469985
      63      298.78334663
Step= 12
      19      298.78168297
      34      298.78168297
      48      298.78168297
      63      298.77945738
Step= 14
      19      298.77967218
      34      298.77967218
      48      298.77967218
      63      298.77685482
Step= 16
      19      298.77766175
      34      298.77766175
      48      298.77766175
      63      298.77425349
Step= 19
      19      298.77464679
      34      298.77464679
      48      298.77464679
      63      298.77036280
Step= 21
      19      298.77263744
      34      298.77263728
      48      298.77263727
      63      298.76777961
Step= 23
      19      298.77062948
      34      298.77062813
      48      298.77062810
      63      298.76520616
Step= 26
      19      298.76762565
      34      298.76761509
      48      298.76761491
      63      298.76136508
Step= 28
      19      298.76563567
      34      298.76560685
      48      298.76560644
      63      298.75881719
Step= 30
      19      298.76366480
      34      298.76359898
      48      298.76359813
      63      298.75627941
Step= 33
      19      298.76076817
      34      298.76058785
      48      298.76058577
      63      298.75249121
Step= 35
      19      298.75889645
      34      298.75858090
      48      298.75857746
      63      298.74997764
Step= 38
      19      298.75621694
      34      298.75557114
      48      298.75556460
      63      298.74622433
Step= 40
      19      298.75454087
      34      298.75356509
      48      298.75355561
      63      298.74373303
Step= 42
      19      298.75297377
      34      298.75155941
      48      298.75154614
      63      298.74125009
Step= 45
      19      298.75086671
      34      298.74855157
      48      298.74853083
      63      298.73754067
Step= 47
      19      298.74965009
      34      298.74654681
      48      298.74651972
      63      298.73507730
Step= 50
      19      298.74814947
      34      298.74354036
      48      298.74350151
      63      298.73139591
Step= 52
      19      298.74738831
      34      298.74153653
      48      298.74148820
      63      298.72895038
Step= 54
      19      298.74683564
      34      298.73953310
      48      298.73947389
      63      298.72651155
Step= 57
      19      298.74642656
      34      298.73652876
      48      298.73645037
      63      298.72286534
Step= 59
      19      298.74645120
      34      298.73452644
      48      298.73443327
      63      298.72044226
Step= 62
      19      298.74696035
      34      298.73152397
      48      298.73140535
      63      298.71681869
Step= 64
      19      298.74762770
      34      298.72952311
      48      298.72938519
      63      298.71441007
Step= 66
      19      298.74856641
      34      298.72752298
      48      298.72736375
      63      298.71200693
Step= 69
      19      298.75049730
      34      298.72452448
      48      298.72432917
      63      298.70841209
Step= 71
      19      298.75214080
      34      298.72252685
      48      298.72230447
      63      298.70602190
Step= 73
      19      298.75407420
      34      298.72053054
      48      298.72027846
      63      298.70363661
Step= 76
      19      298.75752477
      34      298.71753911
      48      298.71723696
      63      298.70006758
Step= 78
      19      298.76019540
      34      298.71554727
      48      298.71520764
      63      298.69769397
Step= 81
      19      298.76476012
      34      298.71256402
      48      298.71216122
      63      298.69414185
Step= 83
      19      298.76817659
      34      298.71057877
      48      298.71012865
      63      298.69177914
