# 2016-06-28 17:09:55.759964
#
# Simulation of heat flow through 1-dimensional rod
# 
# Dimensions
#   dim x =                     11
#   min x =                     0.0
#   max x =                     0.33
# 
# Thermodynamical parameters
#   initial temp =              300.0
#   k c =                       1.95
#   area =                      0.0003877733785771607
#   stop time =                 900.0
#   u amb =                     300.0
#   perim =                     0.0698061887627652
#   emiss =                     0.01
#   power cool =                -10.0
#   power heat =                10.0
#   c =                         380.0
#   rho =                       8730
#   k =                         125.0
# 
# Boundary conditions:
#   method =                    Simple heat-diffusion BC
#   x0 order =                  None
#   x1 order =                  None
# 
# Finite differencing
#   time step =                 0.5
#   method =                    Explicit for simple convection-diffusion equation
# 
Step= 0             Time=       0.0000
       0      300.00000000
       1      300.00000000
       2      300.00000000
       3      300.00000000
       4      300.00000000
       5      300.00000000
       6      300.00000000
       7      300.00000000
       8      300.00000000
       9      300.00000000
      10      300.00000000
Step= 27            Time=      13.5000
       0      302.62553240
       1      300.48204072
       2      300.06317924
       3      300.00626077
       4      300.00048821
       5      300.00003082
       6      300.00000161
       7      300.00000007
       8      300.00000000
       9      300.00000000
      10      300.00000000
Step= 54            Time=      27.0000
       0      304.54610428
       1      301.39322076
       2      300.33417416
       3      300.06450256
       4      300.01027399
       5      300.00137887
       6      300.00015860
       7      300.00001585
       8      300.00000139
       9      300.00000011
      10      300.00000001
Step= 81            Time=      40.5000
       0      306.10472310
       1      302.37923836
       2      300.76711250
       3      300.20712515
       4      300.04752116
       5      300.00939632
       6      300.00162165
       7      300.00024700
       8      300.00003352
       9      300.00000409
      10      300.00000050
Step= 108           Time=      54.0000
       0      307.44406307
       1      303.34757144
       2      301.29239132
       3      300.43024649
       4      300.12449206
       5      300.03159626
       6      300.00709838
       7      300.00142370
       8      300.00025692
       9      300.00004211
      10      300.00000711
Step= 135           Time=      67.5000
       0      308.63454117
       1      304.27502459
       2      301.86499855
       3      300.71730192
       4      300.24417550
       5      300.07398359
       6      300.02007977
       7      300.00491313
       8      300.00109058
       9      300.00022189
      10      300.00004800
Step= 162           Time=      81.0000
       0      309.71591996
       1      305.15811185
       2      302.45914038
       3      301.05145370
       4      300.40379645
       5      300.13974386
       6      300.04376850
       7      300.01246521
       8      300.00324457
       9      300.00078123
      10      300.00020531
Step= 189           Time=      94.5000
       0      310.71300531
       1      305.99906016
       2      303.06031159
       3      301.41906814
       4      300.59818051
       5      300.22961598
       6      300.08048624
       7      300.02585077
       8      300.00764025
       9      300.00210836
      10      300.00064895
Step= 216           Time=     108.0000
       0      311.64244443
       1      306.80154846
       2      303.66031843
       3      301.80991186
       4      300.82167497
       5      300.34272399
       6      300.13156250
       7      300.04659302
       8      300.01528109
       9      300.00472345
      10      300.00165745
Step= 243           Time=     121.5000
       0      312.51603407
       1      307.56935630
       2      304.25451595
       3      302.21650443
       4      301.06901653
       5      300.47730757
       6      300.19747863
       7      300.07584055
       8      300.02713458
       9      300.00923566
      10      300.00361859
Step= 270           Time=     135.0000
       0      313.34248948
       1      308.30595041
       2      304.84029643
       3      302.63341449
       4      301.33563358
       5      300.63122351
       6      300.27808926
       7      300.11434919
       8      300.04405301
       9      300.01629363
      10      300.00701199
Step= 297           Time=     148.5000
       0      314.12846397
       1      309.01438840
       2      305.41624834
       3      303.05669268
       4      301.61768716
       5      300.80224877
       6      300.37283202
       7      300.16252500
       8      300.06673454
       9      300.02654172
      10      300.01238044
Step= 324           Time=     162.0000
       0      314.87917271
       1      309.69732994
       2      305.98167603
       3      303.48345432
       4      301.91200706
       5      300.98824664
       6      300.48089448
       7      300.22049177
       8      300.09571467
       9      300.04058717
      10      300.02029768
Step= 351           Time=     175.5000
       0      315.59879345
       1      310.35708065
       2      306.53631803
       3      303.91158184
       4      302.21599588
       5      301.18724777
       6      300.60133533
       7      300.28816112
       8      300.13137638
       9      300.05897865
      10      300.03133831
Step= 378           Time=     189.0000
       0      316.29073422
       1      310.99564198
       2      307.08017765
       3      304.33951444
       4      302.52753214
       5      301.39748177
       6      300.73316708
       7      300.36529476
       8      300.17396953
       9      300.08219447
      10      300.04605288
